Designator,Mid X,Mid Y,Rotation,Layer
D1,186.98,-84.5,180.0,top
J1,192.86,-101.75,90.0,top
U1,192.81,-60.88,270.0,top
U2,208.25,-49.94,0.0,top
U3,193.48,-91.75,270.0,top
U4,193.48,-96.4,270.0,top
U5,194.7,-84.75,0.0,top
